call_index,clip_filename,customer_said_in_audio,transcript_showed,turn_number,type,impact,clip_start,clip_end,confidence,error
5,call_5_issue_1.wav,UPI,UK,3,word,medium,17,18.7,high,
3,call_3_issue_1.wav,सात बज कर चार मिनट,सात बच्चों चार minute,13,word,low,49.4,51.8,high,
1,call_1_issue_1.wav,शाम को चार हज़ार रुपए,शाम सौ चार हज़ार रुपए,2,amount,medium,13.7,17,high,
2,call_2_issue_1.wav,फटा हुआ (torn),"पड़ा हुआ, हटा हुआ, काटा हुआ, फंसा हुआ, सिरा हुआ, पता आया था","2, 4, 8, 26, 32, 35",word,high,11.7,13.7,high,
5,call_5_issue_2.wav,RRN number,r n number,13,word,medium,81.9,83.8,high,
1,call_1_issue_2.wav,break हो रही है,blur हो रही है,"8, 11, 22",word,low,26.5,28.5,high,
2,call_2_issue_2.wav,मेरा नाम आकाश है / कार्ड से,मतलब आकाश है?,11,word,medium,56,58,high,
4,call_4_issue_1.wav,Doubles पर है triple तीन,Doubles पर है triple तीन,36,number,medium,217.3,219.5,high,
6,call_6_issue_1.wav,43600302,Four three six double zero three zero two,8,number,medium,40.3,43.9,high,
1,call_1_issue_3.wav,म्यूट आ रही है / कट रही है,मृत्यु आ रही है,12,word,high,39.7,41.9,high,
7,call_7_issue_1.wav,समझे नहीं,संजय नहीं,9,word,low,40.7,42.6,high,
2,call_2_issue_3.wav,यहाँ से आपका ब्रांच/एटीएम कितना दूर होगा,meat से आप पार पटम कितना दूर होगा,41,word,high,236.7,239.7,high,
6,call_6_issue_2.wav,नहीं और किसी में,नहीं होगा किसी में,10,word,low,68.3,70.7,high,
9,call_9_issue_1.wav,अड़तालीस घंटे का इंतज़ार करता हूँ,अट्ठाईस घंटा तो करता हूं और रात,8,number,medium,52,58.5,medium,
8,call_8_issue_1.wav,Two five (25),Two five,68-86,number,high,277.3,279,high,
11,call_11_issue_1.wav,ATM,एक हीMR,7,word,medium,25.3,27,high,
9,call_9_issue_2.wav,पैसा आ जाएगा मेरा वापस,बैठा आ जाएगा मेरा बाप से,12,word,high,103.3,105.8,high,
12,call_12_issue_1.wav,ATM ID याद नहीं (assumed based on context),ATM आ गया नहीं,10,word,medium,44.9,47.5,high,
10,call_10_issue_1.wav,transaction,injection,23,word,medium,135,136.5,high,
11,call_11_issue_2.wav,ATM ID,ATM RD,8,word,low,43.9,45.7,high,
4,,अड़तीस... सैंतीस minute में,अड़तीस... सैंतीस minute में,52-65,time,low,,,,"Gemini error: 1 validation error for TimestampResult
  Invalid JSON: EOF while parsing a value at line 1 column 61 [type=json_invalid, input_value='{""start_seconds"": 347.0,...: 353.0, ""found"": true,', input_type=str]
    For further information visit https://errors.pydantic.dev/2.10/v/json_invalid"
12,call_12_issue_2.wav,अट्ठाईस तारीख दूसरा महीना सन् दो हज़ार छब्बीस,अट्ठाईस तारीख दूसरा महीना सन् दो हज़ार छब्बीस,14,date,low,65.2,69.4,high,
13,call_13_issue_1.wav,four seven one zero double three one eight,four seven one zero double three one eight,14,number,medium,58.3,62.3,high,
11,call_11_issue_3.wav,just,chest,15,word,low,87.9,89.3,high,
10,call_10_issue_2.wav,Unclear/Background noise,सत्रह हज़ार / चार लाख पचपन हज़ार,19-21,amount,high,123,125,medium,
15,call_15_issue_1.wav,Four two four zero... [pause] ...six four zero one.,"Bot interrupted, then hallucinated '1 , 2 , 4 , 4 , 5 नहीं था'",08-Oct,number,high,34.5,41,high,
17,call_17_issue_1.wav,ATM से पैसा निकाल रहा था,ATM में पैसा रह रहा हूं ना,7,word,medium,20.7,23.5,high,
14,call_14_issue_1.wav,kal Sunday hai bank kab khulega (assumed),madam कल Sunday है पर मैं खुलेगा,17,word,medium,138.1,142,high,
18,call_18_issue_1.wav,Four two four two... two five zero four,User split the ID across turns due to bot interruption,08-Oct,number,high,53.7,58.1,high,
16,call_16_issue_1.wav,ये (ye),eight,12,word,low,44.7,46.1,high,
17,call_17_issue_2.wav,कार्ड से कार्ड से,नहीं काट से काट से,13,word,low,40.6,42.8,high,
19,call_19_issue_1.wav,"Unclear, likely 'सत्रह फरवरी'",पिछले सौ सत्तर फ़ल पहले पहले मेरी बात तो यह सत्रह फ़ल पैसा,7,date,medium,30.7,32.9,high,
16,call_16_issue_2.wav,मैं बता रहा,मैं बताना,16,word,low,154.4,156.2,high,
20,call_20_issue_1.wav,"हज़ार रुपए, 10 बज के 20 मिनट पे",हज़ार रुपए दे दो दस दस के बीस minute में.,19,time,high,68.9,73.1,high,
19,call_19_issue_2.wav,"Unclear, likely mocking the bot's 'चिंता वाली बात'",अरे चिट्ठा वाली बात है ही है.,5,word,low,23.5,26.2,high,
21,call_21_issue_1.wav,Double two five one,Double दो path one,27,number,medium,87.8,90,high,
22,call_22_issue_1.wav,"Unclear, likely asking for customer care or questioning the resolution",वह. होगा नहीं मैं question देख रही हूं.,6,word,medium,53,111,medium,
23,call_23_issue_1.wav,सत्रह फरवरी दस बजे...,सत्रह फरवरी दस बज,2,time,high,13.5,16.5,high,
24,call_24_issue_1.wav,hum scan karke,हम send करके,2,word,high,12.7,15.3,high,
20,call_20_issue_2.wav,बैंक से नहीं मिला / कैश नहीं मिला,वह. यह tank नहीं मिला.,26,word,medium,145.5,148,high,
14,call_14_issue_2.wav,kya rula diya humko (assumed),क्या रुक गया हमको?,23,word,low,122.7,125,high,
24,call_24_issue_2.wav,ATM par na,देश पर ना,4,word,low,16.7,18.7,high,
21,call_21_issue_2.wav,अधिकारी से बात करवाओ,जो अधिकार करते हैं ना उसको पिता,38,word,high,158.3,160.7,high,
26,call_26_issue_1.wav,ATM se paisa nikal rahe the,ATM se paisa hi kha rahe the,3,word,low,13.7,18,high,
14,call_14_issue_3.wav,aur koi sawal nahi hai (assumed),Madam अब कोई जो नुकसान नहीं है.,27,word,medium,144.9,148,high,
24,call_24_issue_3.wav,waha se paisa nahi nikla,हां हर एक कड़ी आने से पैसा नहीं निकला,6,word,medium,18.3,22,high,
28,call_28_issue_1.wav,चार हज़ार (inferred),सालो हज़ार,8,amount,high,21.9,23.9,high,
25,call_25_issue_1.wav,double four,"double four -> 2, 4","71, 73",number,high,200.7,202.5,high,
26,call_26_issue_2.wav,Two... char do char zero... panch teen zero chhah,"Two... चार दो चार zero... पांच, तीन, zero, छह.",13-17,number,high,117.7,134.3,high,
29,call_29_issue_1.wav,four five four zero five four three three,"Fragmented captures across multiple turns (5433, 405433, 45, 4540)",Dec-24,number,high,134.3,137.7,high,
30,call_30_issue_1.wav,Unclear/Background noise or 'Accha',Text?,5,word,low,48,51,high,
28,call_28_issue_2.wav,ATM ID,Area ID,41,word,medium,2.22,2.3,high,
32,call_32_issue_1.wav,Unclear/Background noise,Gmail से.,14,word,medium,91.5,93.5,high,
34,call_34_issue_1.wav,cash issue,cash soup,3,word,low,14.3,16.3,high,
31,call_31_issue_1.wav,One minute,One,11,word,high,63.9,65.5,high,
35,call_35_issue_1.wav,Unknown (likely a location or 'kal'),Tila,2,word,low,13.6,15.1,high,
24,call_24_issue_4.wav,पच्चीस zero चार,पच्चीस zero चार,13,number,high,59.1,101.6,high,
34,call_34_issue_2.wav,ATM ID,Eighty AM ID,13,word,medium,103.3,105.3,high,
30,call_30_issue_2.wav,पैंतालीस सौ (4500),पैंतालीस हो.,9,amount,high,58.3,60.3,high,
35,call_35_issue_2.wav,है.,है.,4,word,medium,36.1,38.1,high,
37,call_37_issue_1.wav,तिरपन सेकंड (assumed based on context),तेरा one second,13,number,low,53.3,55.5,high,
38,call_38_issue_1.wav,char hazar,Kya hazar?,8,amount,medium,45.3,47.1,high,
30,call_30_issue_3.wav,पैंतालीस सौ निकाल रही थी / सौ निकल रही हूं,सौ निकल रही हूं.,11,amount,high,101.7,104.8,high,
37,call_37_issue_2.wav,पैंसठ बाइस,पैंसठ बाइस,17,number,low,71,73.3,high,
39,call_39_issue_1.wav,"Unclear, likely 'समय' or 'सुबह'",Sunrise subject,20,word,low,1.27,1.28,high,
40,call_40_issue_1.wav,Four nine double one... eight seven one seven,498717,09-Dec,number,high,40.7,45.3,high,
42,call_42_issue_1.wav,India one ATM,NDA team,2,name,low,12.6,14.9,high,
43,call_43_issue_1.wav,ATM से,April से,2,word,low,19.7,21.5,high,
42,call_42_issue_2.wav,Card (likely),पांच,6,word,high,30,31.5,high,
34,call_34_issue_3.wav,1 1,double one,23,number,high,1.227,1.243,high,
38,call_38_issue_2.wav,unclear/frustration,Kahan chala raha tha?,10,word,low,120.5,122.7,high,
43,call_43_issue_2.wav,पैसा हमारे खाते में आ जाएगा,पचास हज़ार पैसे में आ जाएगा,9,amount,medium,118,120.7,high,
45,call_45_issue_1.wav,हां ma'am अभी भी मैंने पांच सौ रुपए UPI से withdraw [followed by silence or further explanation],हां ma'am अभी भी मैंने पांच सौ रुपए UPI से withdraw,2,word,high,11.6,19.5,high,
42,call_42_issue_3.wav,ATM ID,Paytm ID,18,word,medium,20.7,22.8,high,
38,call_38_issue_3.wav,unclear/context mismatch,Hai na pachchis hazar rupaye ka bata rahe hain?,20,amount,high,176.7,179.9,high,
39,,Four five one two nine eight zero two,Four five... one two... nine eight zero two,Dec-16,number,high,,,,"Gemini error: 1 validation error for TimestampResult
  Invalid JSON: EOF while parsing a value at line 3 column 22 [type=json_invalid, input_value='{\n  ""start_seconds"": 60...n  ""end_seconds"": 65.1,', input_type=str]
    For further information visit https://errors.pydantic.dev/2.10/v/json_invalid"
42,call_42_issue_4.wav,यही शिकायत है,यही सिखाते हैं,22,word,low,135.7,137.7,high,
46,call_46_issue_1.wav,mera amount fasa hai / account se paisa kata,मेरा account store पता,2,word,high,13.8,17.8,high,
47,call_47_issue_1.wav,paise nikale balance cut gaya,पैसे नहीं कहा ले balance sir,4,word,high,13.7,16.5,high,
43,call_43_issue_3.wav,एक बजकर पंद्रह minute,एक बच्चे पंद्रह minute,20,word,low,17.7,20.3,high,
49,call_49_issue_1.wav,Card से किया गया था,Car से किया गया था,5,word,low,33.3,35.7,high,
48,call_48_issue_1.wav,अरे कार्ड तो अभी घर पर रखा हुआ है,अरे खास तो अभी घर पर रखा हुआ है,16,word,medium,118.7,122.3,high,
46,call_46_issue_2.wav,mera ATM ID,मेरा EMID,4,word,medium,32.6,35.1,high,
47,call_47_issue_2.wav,do bajkar tirpan minute,दो minute तिरपन second,22,time,medium,87.3,89.7,high,
49,call_49_issue_2.wav,A two six,a two six,7,number,medium,47.8,49.6,high,
52,call_52_issue_1.wav,ATM ID नहीं पता है (Inferred),ATM आज इसी तरह होता है.,7,word,high,48,52,high,
46,call_46_issue_3.wav,hai ATM ID four two,है area ID four two,9,word,high,35,38.3,high,
53,call_53_issue_1.wav,Double nine one nine double seven (with background noise),Double hello double nine one nine double seven.,27,number,high,105.9,109.1,high,
49,call_49_issue_3.wav,unclear/background noise,जोखिम में ही नहीं जोखिम पड़ता है.,11,word,low,54,58.5,high,
55,call_55_issue_1.wav,Unknown (likely 'Network issue hai kya' or similar),Network है क्या अंश है?,2,word,high,10.3,13.7,high,
53,call_53_issue_2.wav,Unclear/Background chatter,pandrah lakh ke paise yeh paise madam ji,29,amount,medium,313,316,medium,
60,call_60_issue_1.wav,तकनीकी कारण (assumed),निकी का कारण,5,word,low,22.3,24.4,high,
50,,four seven one zero five zero zero two,four seven one zero five zero zero two,09-Nov,number,high,,,,"Gemini error: 1 validation error for TimestampResult
  Invalid JSON: EOF while parsing a value at line 3 column 21 [type=json_invalid, input_value='{\n  ""start_seconds"": 15...\n  ""end_seconds"": 155.', input_type=str]
    For further information visit https://errors.pydantic.dev/2.10/v/json_invalid"
53,call_53_issue_3.wav,Unclear frustrated speech,"Main bhook baat nahi kiya, kal milega fayda karunga usko.",39,word,medium,175.5,179,high,
60,call_60_issue_2.wav,अड़तालीस घंटे से (assumed),हर साल जनंचेस,7,word,medium,45.3,47.7,high,
52,call_52_issue_2.wav,अट्ठाईस फरवरी दो हज़ार चौबीस/पच्चीस (Inferred),अट्ठाईस फरवरी दो हज़ार छब्बीस.,9,date,medium,108.8,113.3,high,
57,call_57_issue_1.wav,ATM four six five zero,EMI four six five zero,27,word,low,86,89,high,
56,call_56_issue_1.wav,दस्तावेज हैं (assumed based on context),दस आदेश हैं,20,word,medium,212.1,214.9,high,
58,call_58_issue_1.wav,एक सौ अस्सी रुपए,एक अस्सी रुपए,8,amount,medium,48.5,50.5,high,
62,call_62_issue_1.wav,"हज़ार रुपए निकाल रहा था, पांच हज़ार मिला ही नहीं",हज़ार रुपए कटा रहा था पांच हज़ार मिला ही नहीं एक भी नहीं मिला.,29,amount,high,157.9,162.3,high,
64,call_64_issue_1.wav,withdraw किया है,result किया है,10,word,low,33.1,35.3,high,
64,call_64_issue_2.wav,card से,car से,12,word,medium,60.7,62.5,high,
62,call_62_issue_2.wav,ATM ID,DMI,16,word,low,1.03,1.08,high,
50,call_50_issue_2.wav,wrong likha hai ATM ID bol sakte ho aap (assumed),Madam ji reeta na hai Paytm ID bol sakte ho aap,13-14,word,high,78.3,81.7,high,
64,call_64_issue_3.wav,card से,काट से,20,word,low,61.1,62.9,high,
63,call_63_issue_1.wav,Three two,Three to,42,number,low,169.7,171.7,high,
67,call_67_issue_1.wav,"मैं अभी ATM card से पैसा निकाला हूँ, but मेरे को पैसा प्राप्त नहीं हुआ लेकिन automatic मेरे account से कट गया पैसा. और ATM machine बंद हो गया आपका.",मैं अभी ATM card से पैसा नहीं... but पैसा प्राप्त नहीं हुआ लेकिन automatic मेरे account से cut गया पैसा... और ATM machine बंद हो गया आपका.,04-Jul,word,medium,21,32,high,
50,call_50_issue_3.wav,four seven one (assumed),four seven nine,18,number,medium,150.5,152.5,high,
64,call_64_issue_4.wav,bank band hai,bank वाम है,29,word,medium,171.8,173.8,high,
63,call_63_issue_2.wav,hello,hello,05-Jun,word,medium,16.5,18.3,high,
68,call_68_issue_1.wav,ek baj kar aath minute (inferred),एक बज काट काट की,9,time,medium,29.8,32.1,high,
70,call_70_issue_1.wav,Card से,Car से,8,word,low,25.7,27.7,high,
58,call_58_issue_2.wav,text message / ATM message,Paytm message,46,word,low,14.3,16.5,high,
69,call_69_issue_1.wav,Likely 'ATM ID नहीं पता' or similar,AC ID से निकालना है AC ID.,9,word,medium,68,71,high,
68,call_68_issue_2.wav,double six zero four,Double six zero four,12,word,high,2.329,2.357,high,
73,call_73_issue_1.wav,ATM ID,TMT ID,15,word,low,52.1,54.1,high,
69,call_69_issue_2.wav,Likely something about the time or date,सात सात महीना पड़ेगा.,17,word,high,102.3,105.3,high,
58,call_58_issue_3.wav,वापस आ जाएगा,भाप आ जाएगा,50,word,medium,311.9,313.9,high,
61,call_61_issue_1.wav,राशि,राखी,12,word,low,135,137,high,
74,call_74_issue_1.wav,"पैसे नहीं निकल रहे हैं, ऐसे मदद करो ना (Inferred based on phonetic similarity and context)","अलग से ऐसे नहीं निकलना है, ऐसे मदद करो ना.",4,word,high,45,48.3,high,
